scenario_id,scenario_family,category,product,member_goal,case_summary,risk_tier,regulatory_flags,policy_dependency,source_keys,intake_action,investigate_action,resolve_action,script_status
CU001,card_balance_transfer_request,cards,credit_card,determine whether a balance transfer can be requested and what facts are needed,Member wants to move an outside card balance to a credit-union card.,routine,reg_z_terms_review,card_agreement_and_offer_terms,REG_Z_DISCLOSURES,VERIFY_IDENTITY,REVIEW_CARD_TERMS,REFER_CARD_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU002,card_balance_transfer_pending,cards,credit_card,locate the transfer status and identify the correct servicing path,Member submitted a balance transfer that has not posted as expected.,elevated,reg_z_terms_review,card_servicing_status_and_offer_terms,REG_Z_DISCLOSURES,VERIFY_IDENTITY,CHECK_TRANSACTION_STATUS,REFER_CARD_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU003,card_balance_transfer_terms,cards,credit_card,"understand the applicable fee, APR, promotion, and eligible amount without assuming terms",Member asks how a balance-transfer offer applies to their account.,routine,reg_z_terms_review,card_agreement_and_offer_terms,REG_Z_DISCLOSURES,VERIFY_IDENTITY,REVIEW_CARD_TERMS,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU004,zelle_pending_recipient_unenrolled,p2p_payments,zelle,determine whether recipient enrollment explains the pending status,Member sent a Zelle payment to a recipient who may not be enrolled.,routine,p2p_status_review,zelle_and_institution_status_rules,ZELLE_ENROLLMENT,VERIFY_IDENTITY,CHECK_RECIPIENT_ENROLLMENT,CONFIRM_NEXT_STEP,DEFERRED_TO_NEXT_PHASE
CU005,zelle_security_review,p2p_payments,zelle,identify the authoritative status and route a security-review hold without promising release,Member reports a Zelle payment delayed by an institution security review.,elevated,p2p_status_review,institution_fraud_and_payment_controls,REG_E_ERROR|NCUA_CAC,VERIFY_IDENTITY,CHECK_TRANSACTION_STATUS,REFER_PAYMENTS_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU006,zelle_recipient_nonreceipt,p2p_payments,zelle,"compare sender status, recipient enrollment, and destination details before tracing",Member says a completed or sent Zelle payment was not received.,elevated,reg_e_review_possible|p2p_status_review,zelle_and_institution_status_rules,REG_E_ERROR|ZELLE_ENROLLMENT,VERIFY_IDENTITY,TRACE_PAYMENT,REFER_PAYMENTS_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU007,zelle_authorized_scam_report,fraud,zelle,"capture the scam report, preserve the authorization distinction, and escalate",Member says they personally sent a Zelle payment after being deceived.,high,fraud_review|reg_e_classification_required,institution_scam_and_recovery_process,REG_E_ERROR|NCUA_CAC,SECURE_ACCOUNT,CLARIFY_REQUEST,REFER_FRAUD_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU008,zelle_unauthorized_transfer,fraud,zelle,secure the account and initiate the approved unauthorized-EFT review,Member denies initiating a Zelle transfer from the account.,high,reg_e_error_possible|reg_e_liability_review|fraud_review,reg_e_and_institution_fraud_process,REG_E_ERROR|REG_E_LIABILITY|IDENTITY_THEFT,SECURE_ACCOUNT,START_EFT_ERROR_INTAKE,REFER_FRAUD_SPECIALIST,DEFERRED_TO_NEXT_PHASE
CU009,ach_direct_deposit_missing,ach,checking,"verify whether an expected ACH credit was received, pending, returned, or never originated",Member expected a payroll or benefit direct deposit that is not visible.,elevated,reg_e_information_request_possible,ach_status_and_originator_records,ACH_BASICS|REG_E_ERROR,VERIFY_IDENTITY,CHECK_TRANSACTION_STATUS,TRACE_PAYMENT,DEFERRED_TO_NEXT_PHASE
CU010,ach_debit_unrecognized,fraud,checking,secure the account as needed and capture an alleged unauthorized or incorrect EFT,Member does not recognize an ACH debit on the account.,high,reg_e_error_possible|reg_e_liability_review|fraud_review,reg_e_and_institution_fraud_process,ACH_BASICS|REG_E_ERROR|REG_E_LIABILITY,SECURE_ACCOUNT,START_EFT_ERROR_INTAKE,REFER_FRAUD_SPECIALIST,DEFERRED_TO_NEXT_PHASE
