scenario_id,scenario_family,train_episodes,validation_episodes,test_episodes,total_episodes,total_decisions
CU001,card_balance_transfer_request,70,15,15,100,300
CU002,card_balance_transfer_pending,70,15,15,100,300
CU003,card_balance_transfer_terms,70,15,15,100,300
CU004,zelle_pending_recipient_unenrolled,70,15,15,100,300
CU005,zelle_security_review,70,15,15,100,300
CU006,zelle_recipient_nonreceipt,70,15,15,100,300
CU007,zelle_authorized_scam_report,70,15,15,100,300
CU008,zelle_unauthorized_transfer,70,15,15,100,300
CU009,ach_direct_deposit_missing,70,15,15,100,300
CU010,ach_debit_unrecognized,70,15,15,100,300
CU011,ach_transfer_returned,70,15,15,100,300
CU012,debit_card_declined,70,15,15,100,300
CU013,debit_card_lost_or_stolen,70,15,15,100,300
CU014,debit_card_transaction_dispute,70,15,15,100,300
CU015,atm_cash_dispense_error,70,15,15,100,300
CU016,mobile_banking_lockout,70,15,15,100,300
CU017,account_takeover_suspected,70,15,15,100,300
CU018,check_deposit_hold,70,15,15,100,300
CU019,check_deposit_returned,70,15,15,100,300
CU020,overdraft_or_nsf_fee,70,15,15,100,300
CU021,bill_pay_payment_missing,70,15,15,100,300
CU022,wire_transfer_status_or_recall,70,15,15,100,300
CU023,loan_payment_posting,70,15,15,100,300
CU024,loan_payoff_quote,70,15,15,100,300
CU025,membership_account_opening_eligibility,70,15,15,100,300
