action_family,train_preferred_count,validation_preferred_count,test_preferred_count,total_preferred_count
VERIFY_IDENTITY,1330,285,285,1900
CLARIFY_REQUEST,140,30,30,200
SECURE_ACCOUNT,420,90,90,600
CHECK_TRANSACTION_STATUS,350,75,75,500
CHECK_RECIPIENT_ENROLLMENT,70,15,15,100
TRACE_PAYMENT,210,45,45,300
EXPLAIN_GENERAL_PROCESS,0,0,0,0
REVIEW_CARD_TERMS,140,30,30,200
REVIEW_ACCOUNT_FEES,70,15,15,100
CHECK_CARD_STATUS,70,15,15,100
START_EFT_ERROR_INTAKE,210,45,45,300
START_CARD_DISPUTE,70,15,15,100
BLOCK_OR_REPLACE_CARD,70,15,15,100
REVIEW_DEPOSIT_HOLD,70,15,15,100
REVIEW_DEPOSIT_RETURN,70,15,15,100
RESTORE_DIGITAL_ACCESS,70,15,15,100
REVIEW_LOAN_ACCOUNT,70,15,15,100
PROVIDE_PAYOFF_QUOTE_PATH,70,15,15,100
REVIEW_MEMBERSHIP_ELIGIBILITY,70,15,15,100
REFER_CARD_SPECIALIST,210,45,45,300
REFER_PAYMENTS_SPECIALIST,490,105,105,700
REFER_FRAUD_SPECIALIST,280,60,60,400
REFER_LENDING_SPECIALIST,70,15,15,100
DOCUMENT_CASE,0,0,0,0
CONFIRM_NEXT_STEP,630,135,135,900
CLOSE_INTERACTION,0,0,0,0
