decision_id,split,turn_index,phase,scenario_id,scenario_family,product,member_utterance,valence,arousal,urgency,authentication_state,risk_tier,preferred_action_family,action_mask_group,acceptable_action_families_json,prohibited_behaviors_json,script_text_status
SYN-CU-010-CU001-001-D1,train,1,authenticate_and_scope,CU001,card_balance_transfer_request,credit_card,"I'm trying to sort out a credit-union issue. I want to move a balance from another card; this came up this week, and I need to determine whether a balance transfer can be requested and what facts are needed. I called during regular business hours; my outside account is open.",positive,low,time_sensitive,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU001-001-D2,train,2,investigate_and_classify,CU001,card_balance_transfer_request,credit_card,"For context, the amount is $980.24; the event was about five days ago, and my outside account is open.",neutral,medium,time_sensitive,verified,routine,REVIEW_CARD_TERMS,CARD_TERMS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU001-001-D3,train,3,resolve_or_escalate,CU001,card_balance_transfer_request,credit_card,"Given that my outside account is open and the event was about five days ago, which team or process should take the next step? I reached out during regular business hours.",neutral,low,time_sensitive,verified,routine,REFER_CARD_SPECIALIST,CLOSE_CARD,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU002-001-D1,train,1,authenticate_and_scope,CU002,card_balance_transfer_pending,credit_card,"Here's what brought me in around a possible holiday closure: a submitted balance transfer is showing as pending. This came up yesterday. Please help me locate the transfer status and identify the correct servicing path. For context, I submitted the transfer through digital banking. I need this secured or routed immediately.",negative,medium,immediate,not_started,elevated,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU002-001-D2,train,2,investigate_and_classify,CU002,card_balance_transfer_pending,credit_card,"What I can confirm is this: the amount is $842.19, it was yesterday, and I submitted the transfer through digital banking.",negative,medium,immediate,verified,elevated,CHECK_TRANSACTION_STATUS,PAYMENT_STATUS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU002-001-D3,train,3,resolve_or_escalate,CU002,card_balance_transfer_pending,credit_card,"For this pending balance transfer involving $842.19 from yesterday, what is the safe next step and who owns it? I need this secured or routed immediately.",negative,medium,immediate,verified,elevated,REFER_CARD_SPECIALIST,CLOSE_CARD,"[""CONFIRM_NEXT_STEP"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU003-001-D1,train,1,authenticate_and_scope,CU003,card_balance_transfer_terms,credit_card,"I'm trying to sort out a credit-union issue. I am comparing the balance-transfer promotion with my regular APR; this came up recently, and I need to understand the applicable fee, APR, promotion, and eligible amount without assuming terms. I called during regular business hours; purchase and transfer rates may differ.",neutral,low,routine,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
SYN-CU-010-CU003-001-D2,train,2,investigate_and_classify,CU003,card_balance_transfer_terms,credit_card,"The main facts are that purchase and transfer rates may differ; the amount is $4,088.03; and it occurred a few weeks ago.",neutral,low,routine,verified,routine,REVIEW_CARD_TERMS,CARD_TERMS,"[""DOCUMENT_CASE"",""EXPLAIN_GENERAL_PROCESS""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""STATE_UNVERIFIED_POLICY""]",NOT_INCLUDED
SYN-CU-010-CU003-001-D3,train,3,resolve_or_escalate,CU003,card_balance_transfer_terms,credit_card,"What should happen next when I am comparing the balance-transfer promotion with my regular APR, with the event occurring a few weeks ago, given that purchase and transfer rates may differ, and what outcome should not be promised yet?",neutral,medium,routine,verified,routine,CONFIRM_NEXT_STEP,CLOSE_ROUTINE,"[""CLOSE_INTERACTION"",""DOCUMENT_CASE""]","[""GUARANTEE_OUTCOME_OR_TIMING"",""PROMISE_CREDIT_OR_REFUND""]",NOT_INCLUDED
SYN-CU-010-CU004-001-D1,train,1,authenticate_and_scope,CU004,zelle_pending_recipient_unenrolled,zelle,I'm calling over the weekend because my Zelle payment says pending and the recipient has not received it. This came up this week. I need help to determine whether recipient enrollment explains the pending status. A useful detail is that the recipient used a different contact point. This is time-sensitive for me.,positive,low,time_sensitive,not_started,routine,VERIFY_IDENTITY,INTAKE_ROUTINE,"[""CLARIFY_REQUEST"",""DOCUMENT_CASE""]","[""DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH""]",NOT_INCLUDED
