script_id,action_family,response_text,review_status,required_slots,prohibited_claims
CCF-DRAFT-001,VERIFY_IDENTITY,"Before I discuss account-specific information, I'll complete the credit union's approved identity-verification steps.",DRAFT_REVIEW_REQUIRED,approved_identity_workflow,DISCLOSE_ACCOUNT_DATA_BEFORE_AUTH
CCF-DRAFT-002,CLARIFY_REQUEST,"I'll ask a few focused questions so I can classify the request and take the correct next step.",DRAFT_REVIEW_REQUIRED,minimum_case_facts,ASSUME_UNVERIFIED_FACTS
CCF-DRAFT-003,SECURE_ACCOUNT,"I'll begin the approved account-security process now and preserve the details needed for review.",DRAFT_REVIEW_REQUIRED,approved_security_workflow,BYPASS_SECURITY_CONTROLS|GUARANTEE_RECOVERY
CCF-DRAFT-004,CHECK_TRANSACTION_STATUS,"I'll check the institution's authoritative transaction record before describing the status or timing.",DRAFT_REVIEW_REQUIRED,authoritative_transaction_status,STATE_UNVERIFIED_STATUS|GUARANTEE_TIMING
CCF-DRAFT-005,CHECK_RECIPIENT_ENROLLMENT,"I'll check the payment status and recipient-enrollment details; a pending payment is not automatically a confirmed fraud hold.",DRAFT_REVIEW_REQUIRED,payment_status|recipient_enrollment,STATE_UNVERIFIED_STATUS|GUARANTEE_TIMING
CCF-DRAFT-006,TRACE_PAYMENT,"I'll collect the available transaction identifiers and start or route the approved payment trace.",DRAFT_REVIEW_REQUIRED,transaction_identifiers|approved_trace_workflow,GUARANTEE_RECOVERY|GUARANTEE_TIMING
CCF-DRAFT-007,EXPLAIN_GENERAL_PROCESS,"I can explain the general process, but I won't state institution-specific terms or promise an outcome until they are verified.",DRAFT_REVIEW_REQUIRED,approved_general_process,STATE_UNVERIFIED_POLICY|GUARANTEE_OUTCOME_OR_TIMING
CCF-DRAFT-008,REVIEW_CARD_TERMS,"I'll retrieve the applicable card agreement and current offer to verify the A P R, fee, promotion, and eligible amount.",DRAFT_REVIEW_REQUIRED,card_agreement|current_offer,STATE_UNVERIFIED_POLICY|GUARANTEE_ELIGIBILITY
CCF-DRAFT-009,REVIEW_ACCOUNT_FEES,"I'll review the posted or pending fee and the credit union's approved adjustment policy before discussing options.",DRAFT_REVIEW_REQUIRED,fee_record|approved_adjustment_policy,PROMISE_FEE_REVERSAL|STATE_UNVERIFIED_POLICY
CCF-DRAFT-010,CHECK_CARD_STATUS,"I'll check the card, account controls, limits, security blocks, and network status before identifying the next step.",DRAFT_REVIEW_REQUIRED,card_status|account_controls,ASSUME_DECLINE_REASON|BYPASS_SECURITY_CONTROLS
CCF-DRAFT-011,START_EFT_ERROR_INTAKE,"I'll capture the claim through the approved electronic-transfer error process and explain the documented next step.",DRAFT_REVIEW_REQUIRED,approved_eft_error_workflow,DETERMINE_LEGAL_COVERAGE|PROMISE_CREDIT_OR_REFUND
CCF-DRAFT-012,START_CARD_DISPUTE,"I'll open or route the concern through the approved card-dispute workflow after collecting the required facts.",DRAFT_REVIEW_REQUIRED,approved_card_dispute_workflow,DETERMINE_DISPUTE_OUTCOME|PROMISE_CREDIT_OR_REFUND
CCF-DRAFT-013,BLOCK_OR_REPLACE_CARD,"I'll use the approved controls to block, suspend, or replace the card and confirm what happens next.",DRAFT_REVIEW_REQUIRED,approved_card_security_controls,PROMISE_DELIVERY_TIMING|BYPASS_SECURITY_CONTROLS
CCF-DRAFT-014,REVIEW_DEPOSIT_HOLD,"I'll review the deposit type, hold notice, availability date, and any applicable exception before confirming the next step.",DRAFT_REVIEW_REQUIRED,deposit_record|hold_notice|availability_date,PROMISE_EARLY_RELEASE|STATE_UNVERIFIED_POLICY
CCF-DRAFT-015,REVIEW_DEPOSIT_RETURN,"I'll review the return reason, adjustment, notice, and the next eligible deposit action using the authoritative record.",DRAFT_REVIEW_REQUIRED,return_record|adjustment_notice,PROMISE_REVERSAL|STATE_UNVERIFIED_POLICY
CCF-DRAFT-016,RESTORE_DIGITAL_ACCESS,"I'll use the approved access-recovery and device-security process; I won't bypass identity or security controls.",DRAFT_REVIEW_REQUIRED,approved_access_recovery,BYPASS_SECURITY_CONTROLS|REQUEST_SECRET_CREDENTIALS
